"Agency","Date","Agenda Section","Item Heading","Item Content","Relevance Score"
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.7 Amendment to the Agreement with AMS-SJC JV for Airport Retail Concession","Recommendation: Approve a Fourth Amendment to the AMS-SJC JV Airport Retail Concession Agreement to add a duty free/duty paid store, establish the percentage fee for duty free/duty paid revenue, extend the Agreement for four years, from July 1, 2020 through June 30, 2024, and to provide that the Director of Aviation may terminate any or all of Concessionaires individual concession locations at the Airport at any time upon 180 days notice during the final two years of the term from July 1, 2022 to June 30, 2024. CEQA: Not a Project, File No. PP10-066(e), Services that involve no physical changes to the environment. (Airport)",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.8 Amendment to the Agreement with Resource Development Associates for the Evaluation of the Mayors Gang Prevention Task Force. - DEFERRED","Recommendation: Adopt a resolution authorizing the City Manager to: (a) Execute the First Amendment to Agreement with Resource Development Associates, Inc. for a Comprehensive Retrospective and Prospective Evaluation Consultant of the Mayors Gang Prevention Task Force to modify the scope of services, extend the term by one year to December 31, 2016, and update the schedules of performance and compensation, at no additional cost to the City; and (b) Negotiate and execute future amendments to the Agreement with Resource Development Associates to modify the scope of services, extend the term and update the schedules of performance and compensation, as necessary to produce a final Comprehensive Retrospective and Prospective Evaluation of the Mayors Gang Prevention Task Force for submittal to the Department of Justice, at no additional cost to the City. CEQA: Not a Project, File No. PP10-066(e), Services that involve no physical changes to the environment. (Parks, Recreation and Neighborhood Services) DEFERRED TO 2/3/15 PER ADMINISTRATION",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.9 Downtown San Jos Property-Based Business Improvement District Annual Financial Report for FY 2013-14","Recommendation: Approve the Downtown San Jose Property-Based Business Improvement District Annual Financial Report for FY 2013-14. The report provides information to the public and the property owners in the District regarding the use of the assessments and the management and operations of the District. CEQA: Exempt, File No. PP12-053. (Transportation)",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.10 Proposed State Legislation to Amend the Vehicle Code","Conflict of Interest Recommendation: As recommended by the Rules and Open Government Committee on January 14, 2015, direct the City Administration to seek a sponsor for state legislation to allow local regulation of certain pedestrian right of ways, such as staircases, under the California Vehicle Code. CEQA: Not a Project, File No. PP10-068, General policy making (City Attorney) [Rules Committee referral 1/14/15 Item G(2)]",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.11 African American History Month Flag Raising","Recommendation: As recommended by the Rules and Open Government Committee on January 14, 2015: (a) Approve the African American History Month Flag Raising scheduled on February 6, 2015 as a City Council sponsored Special Event and approve the expenditure of funds; and (b) Approve and accept donations from various individuals, businesses, or community groups to support the event. CEQA: Not a Project. (Kalra) [Rules Committee referral 1/14/15 Item G(3)]",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.12 District 8 Senior Health Fair and Walk","Recommendation: As recommended by the Rules and Open Government Committee on January 21, 2015: (a) Approve the District 8 Senior Health Fair and Walk scheduled on Saturday, May 30, 2015 as a City Council sponsored Special Event and approve the expenditure of funds; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project. (Herrera) [Rules and Open Government Committee 1/21/15 Item G(3)]",""
"City of San Jose","JANUARY 27, 2015 ","2. CONSENT CALENDAR ","2.13 City Council Committee and Board and Commission Appointments","Recommendation: As recommended by the Rules and Open Government Committee on January 21, 2015: (a) Approve Vice Mayor Rose Herrera as Vice Chair of the Rules and Open Government Committee; (b) Eliminate the appointments to the Santa Clara Valley Water District Watershed Committees (Coyote, Guadalupe, and West Valley) made during the January 6, 2015 Council meeting as they have been consolidated into the Water Commission; (Item continued on the next page) Recommendation: (c) At the Councilmembers request, rescind the appointment of Councilmember Raul Peralez to the Valley Transit Authority Policy Advisory Committee; (d) Approve Councilmember Chappie Jones appointment to Valley Transit Authority Policy Advisory Committee; and (e) Approve Councilmember Magdalena Carrasco to the Mayors Gang Force Prevention Task Force. (Mayor) [Rules and Open Government Committee 1/21/15 G(4)]",""
"City of San Jose","JANUARY 27, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.1 Report of Interim City Manager, Norberto Dueas (Verbal Report).","",""
"City of San Jose","JANUARY 27, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.2 Labor Negotiations Update.","Recommendation: Accept Labor Negotiations Update. TO BE HEARD AT 9:00 A.M.",""
"City of San Jose","JANUARY 27, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.3 Audit of Accounts Receivables","Recommendation: As recommended by the Public Safety, Finance, and Strategic Support Committee on December 11, 2014, accept the Audit of Accounts Receivables. CEQA: Not a Project, File No. PP10-069(a), Staff reports. (City Auditor) [Public Safety, Finance, and Strategic Support Committee referral 12/11/14 Item D(3)] (Deferred from 1/13/15 Item 3.3)",""
"City of San Jose","JANUARY 27, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.4 Comprehensive Annual Financial Report for Retirement Plans for Fiscal Years Ending June 30, 2014 and June 30, 2013","Recommendation: Accept the following annual reports: (a) Police and Fire Department Retirement Plan Comprehensive Annual Financial Report for the Fiscal Years ended June 30, 2014 and June 30, 2013; and (b) Federated City Employees Retirement System Comprehensive Annual Financial Report for the Fiscal Years ended June 30, 2014 and June 30, 2013. CEQA: Not a Project, File No. PP10-069(a), Annual Reports that involve no approvals of any City Actions. (Retirement)",""
"City of San Jose","JANUARY 27, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.5 General Fund Structural Budget Deficit History and Service Restoration Priorities and Strategies.","Supplemental dated January 23, 2015 Presentation Supplemental dated January 15, 2015 Presentation from January 20, 2015 Memo from Councilmember Rocha Supplemental from the Director of Finance Recommendation: Discussion continued from the General Fund Structural Budget Deficit History and Service Restoration Priorities and Strategies City Council Study Session on January 20, 2015. (City Manager) TO BE HEARD LAST IN THE AFTERNOON PENDING ORDERS OF THE DAY",""
"City of San Jose","JANUARY 27, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.1 Actions Related to Loans and Restrictions for Housing for Independent People","Recommendation: Adopt a resolution: (a) Authorizing the Director of Housing to negotiate and execute: (1) Shared Housing Affordability Restrictions for affordability restricted properties owned by Housing for Independent People (HIP) for the following properties: 3825 Barker Drive; 3456 Calvin Avenue; 1824 Curtner Avenue; 5629, 5668 and 5684 Hoffman Court; 1231 Minnesota Avenue; and 1713 and 1731 Ross Circle. (2) Amendments to the Citys existing loan documents to allow the HIPs use of project cash flow that would otherwise be due to the City for additional replacement reserve deposits and to fund supportive services as permitted project expenses for the above properties as well as the following properties: 1579 Branham Lane; 239 Burning Tree Drive; 1794 Donna Lane; 1059 Roewill Drive; and 1726 Ross Circle. (3) Shared Housing Affordability Restrictions as needed for other affordable supportive shared housing projects for formerly homeless households or individuals. (b) Approving conditional grant commitments from the Low and Moderate Income Housing Asset Fund to HIP for up to $300,000 to cover the soft costs of rehabilitation and an increase to the grant made under the Homeless Housing Program of up to $200,000 for additional hard costs incurred in the rehabilitation of its existing affordable rental properties: 1059 Roewill Drive; 3825 Barker Drive; 247-249 Muirfield Drive; 1231 Minnesota Avenue; 2551 Sesame Court; 1713 and 1731 Ross Circle; and 5629, 5668 and 5684 Hoffman Court. CEQA: Exempt, File No. PP13-108. Council Districts 1, 2, 5, 6, 8, 9 and 10. (Housing)",""
"City of San Jose","JANUARY 27, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.2 General Plan Text Amendment: Housing Element for 2014 - 2023",".",""
"City of San Jose","JANUARY 27, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","2014-2023 Housing Element Revised Public Draft September 2014","Recommendation: Approval of City-initiated General Plan text amendment request to revise the Envision San Jose 2040 General Plan Text to incorporate the Housing Element for 2014-2023, which text amendments include but are not limited to: revising Chapter 7 Implementation; adding new Appendices including but not limited to Appendix 11 Housing Element for 2014-2023; and revising or deleting references to Appendix C Housing Element Update 2007-2014, of the San Jose 2020 General Plan, all to update demographic and housing data, goals, policies, and implementation actions and to make other minor technical, clarifying and clerical revisions, as necessary, to comply with State Housing Element Law (Government Code Sections 65580-65589.8). CEQA: Envision San Jose 2040 General Plan EIR, Resolution No. 76041, and Addenda thereto; Downtown Strategy 2000 EIR, Resolution No. 72767, and Addenda thereto; North San Jose Development Policies EIR, Resolution No. 72768, and Addenda thereto; and Diridon Station Area Plan EIR, Resolution No. 77096 and Addenda thereto (collectively, the Final Program EIRs). Pursuant to Section 15168 of the CEQA Guidelines, the City of San Jose has determined that this activity is within the scope of the earlier approved programs and the Final Program EIRs adequately describe the activity for purposes of CEQA. The project does not involve new significant effects beyond those analyzed in the Final Program EIRs. Planning Commission recommends approval (6-0-0). (Planning, Building and Code Enforcement) Resolution GPT14-001 - Citywide ITEM TO BE OPENED IN THE AFTERNOON AND CONTINUED TO THE EVENING",""
"City of San Jose","JANUARY 27, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.3 Public Hearing on US-101/Oakland/Mabury Transportation Development Policy. - DROP","Recommendation: Consideration to modify the policy to: (1) align the San Jose Flea Market sites transportation impact fee funding schedule with the US-101/Mabury interchange project schedule; (2) restructure the San Jose Flea Market sites transportation impact fee payment to align with the development of the future San Jose Flea Market sites phases; (3) ensure that these improved or new interchanges will align with the multimodal goals of the Envision San Jose 2040 General Plan; and (4) allow other clarifying updates on the planning and implementation of the policy. CEQA: Final Environmental Impact Report for the King and Dobbin Transit Village, Resolution No. 74195.1. (Planning, Building and Code Enforcement) US-101/Oakland/Mabury Transportation Development Policy - Districts: 3 and 4 DROP TO BE RENOTICED",""
"City of San Jose","JANUARY 27, 2015 ","5. NEIGHBORHOOD SERVICES ","5.1 Wild Pig Depredation Ordinance","Memo from Councilmembers Khamis and Carrasco (Sunshine Waiver Required) Recommendation: Direct the Administration to return to the City Council with a proposed ordinance to exempt from the current prohibition on the discharge of firearms under San Jose Municipal Code Section 10.32.010 a person who discharges a firearm to kill a wild pig in compliance with certain conditions. CEQA: Exempt, File No. PP13-103. (Public Works)",""
"City of San Jose","JANUARY 27, 2015 ","5. NEIGHBORHOOD SERVICES ","5.2 Funding Partnership with Santa Clara Valley Water District for the Coyote Creek Trail Project","Recommendation: Adopt a resolution authorizing the City Manager or designee to: (a) Submit a partnership proposal to secure funding support not to exceed $1,000,000 from the Santa Clara Valley Water District under the 2015 Safe, Clean Water Partnership Program; (b) Make the certifications and assurances required as part of the partnership requirements; and (c) Accept any resulting services and/or funding support awarded to the City and negotiate and execute all required documents to effectuate the partnership including, but not limited to applications, agreements, amendments, and payment requests, which may be necessary for the completion of the Project. CEQA: Mitigated Negative Declaration, File No. PP-08-014. Council District 7. (Parks, Recreation and Neighborhoods Services)",""
"City of San Jose","JANUARY 27, 2015 ","5. NEIGHBORHOOD SERVICES ","5.3 Support for Immigrant Services","Memo from Mayor Liccardo, Vice Mayor Herrera, and Councilmember Jones Recommendation: Direct the City Manager to: (a) Return to the Neighborhood Services & Education Committee, and through the mid-year budget process, to Council, to create a plan to address the imminent flood of inquiries from thousands of our residents who might qualify for relief from deportation under President Barack Obamas recent Executive Action, and under the Deferred Action for Childhood Arrivals. (b) Bring back a plan to establish an Office of Immigrant Affairs, as well as report back on a potential Welcome Ordinance. (c) Investigate and outline a plan for coordination with the County of Santa Clara. (d) Explore and report back to the Council on options of utilizing current City resources. (e) Report back to the City Council on the costs and scope of work of designating roles to Parks, Recreation and Neighborhood Services staff. CEQA: Not a Project, File No. PP10-068(c), Policies that will have no effect on the environment. (City Manager) TO BE HEARD NO EARLIER THAN 2:30 P.M.",""
"City of San Jose","JANUARY 27, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.1 Airport Ground Transportation Program. - DEFERRED","Recommendation: As recommended by the Rules and Open Government Committee on December 10, 2014, modify RFP SJC131415 On-Demand Ground Transportation Management for the San Jose City Mineta International Airport in order to comply with Council direction from March 4, 2014 to ensure the ability to work at the airport will be distributed equally among the companies as follows: (a) Delete the following language from the RFP: It is not expected, nor would an option be reviewed and approved by the Airport that calls for an equal/identical number of drivers to be assigned to the Airport per company despite the size of the company. (b) Add the following language to the RFP: Qualified cab companies will be required to provide an equal number of taxi cabs at the Airport to meet the demand from first to last flight, or from 5:00 a.m. to 12:00 midnight. The cab companies can schedule their drivers by 8 hours or more per day shift to give all of their drivers a chance to work at the Airport. (Herrera/Khamis) [Rules and Open Government Committee 12/10/14 Item G(5)] DEFERRED TO 2/10/15 PER ADMINISTRATION",""
"City of San Jose","JANUARY 27, 2015 ","7. ENVIRONMENTAL & UTILITY SERVICES ","7.1 Sanitary Sewer Flow Study. - DEFERRED","Recommendation: As recommended by the Transportation and Environment Committee on November 3, 2014: (a) Accept the updated staff report regarding the attached Sanitary Sewer Flow; and (b) Approve the proposed changes and policy recommendations for future updates to the revenue program for the San Jose-Santa Clara Regional Wastewater Facility. CEQA: Not a Project, File No PP10-067(a), Increase or Adjustments to Fees, Rates and Fares. (Environmental Services) [Transportation and Environment Committee referral 11/3/14 Item D(3)] (Deferred from 12/2/14 Item 7.4) DEFERRED TO 3/3/15 PER ADMINISTRATION",""
"City of San Jose","JANUARY 27, 2015 ","9. REDEVELOPMENT SUCCESSOR AGENCY ","9.1 Sale of Successor Agency Owned Property at 201 North Market Street to the San Jos Fire Museum","Recommendation: Adopt a resolution of the Successor Agency Board authorizing the Managing Director to negotiate and execute: (a) A Purchase and Sale Agreement between the Successor Agency to the Redevelopment Agency of the City of San Jose and the San Jose Fire Museum to sell the real property located at 201 North Market Street (Assessor Parcel Number 259-33-077) to the San Jose Fire Museum for a purchase price of $1,000,000; and (b) All other documents necessary to complete the transaction. CEQA: Downtown Strategy EIR, Resolution No. 72767, adopted 6/21/2005. (Successor Agency to the Redevelopment Agency)",""
"City of San Jose","JANUARY 27, 2015 ","11. PUBLIC HEARINGS ","11.1 Public Hearings on Consent Calendar.","No Public Hearing on Consent Calendar at this time.",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","Recommendation: Approval of minutes. (a) Regular Minutes of November 4, 2014. (b) Special Council Meeting Minutes of November 7, 2014. (c) Regular Minutes of November 18, 2014.",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Rules and Open Government Committee Report of January 14, 2015. (Mayor)",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests.","",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.7 Amendment to the Agreement with Resource Development Associates for the Evaluation of the Mayors Gang Prevention Task Force","Recommendation: Adopt a resolution authorizing the City Manager to: (a) Execute the First Amendment to Agreement with Resource Development Associates, Inc. for a Comprehensive Retrospective and Prospective Evaluation of the Mayors Gang Prevention Task Force to modify the scope of services, extend the term by one year to December 31, 2016, and update the schedules of performance and compensation, at no additional cost to the City; and (b) Negotiate and execute future amendments to the Agreement with Resource Development Associates to modify the scope of services, extend the term and update the schedules of performance and compensation, as necessary to produce a final Comprehensive Retrospective and Prospective Evaluation of the Mayors Gang Prevention Task Force for submittal to the Department of Justice, at no additional cost to the City. CEQA: Not a Project, File No. PP10-066(e), Services that involve no physical changes to the environment. (Parks, Recreation and Neighborhood Services) (Deferred from 1/27/15 Item 2.8)",""
"City of San Jose","FEBRUARY 3, 2015 ","2. CONSENT CALENDAR ","2.8 Board and Commission Appointments","Recommendation: (a) Approve the following Council Appointment Advisory Commission appointments: (1) Appoint to the District 1 Seat to a term ending 12/13/18; (2) Appoint to the District 3 Seat to a term ending 12/13/18; (3) Appoint to the District 8 Seat to a term ending 12/13/18; (4) Appoint to the District 10 Seat to a term ending 12/13/18; and (5) Appoint to the Citywide Seat to a term ending 12/13/18. (b) Approve the following Housing and Community Development Commission appointments: (1) Appoint to the District 4 Seat to a term ending 6/30/15; and (2) Appoint to the District 7 Seat to a term ending 12/31/18. (c) Appoint the following Human Services Commission appointments: (1) Appoint to the District 2 Seat to a term ending 12/13/18; (2) Appoint to the District 4 Seat to a term ending 12/13/18; (3) Appoint to the District 5 Seat to a term ending 12/13/18; (4) Appoint to the District 8 Seat to a term ending 12/13/18; and (5) Appoint to Seat reserved for a disable person to a term ending 12/31/18. (City Clerk) RECOMMEND DEFERRAL TO 2/10/15 PER CITY CLERK",""
